E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],Rp [m/s2],Ro [m/s2]
          663690.000,         4967900.000,               0.915,               2.062,               1.373,               2.255,               0.056
          662793.600,         4971388.000,               1.634,               2.998,               2.214,               3.409,               0.193
          663690.000,         4972400.000,               0.960,               4.592,               2.100,               3.739,               2.834
          669354.900,         4967100.000,               1.321,               1.296,               1.308,               0.606,               1.749
          664786.000,         4975704.000,               3.000,               4.107,               3.510,               2.427,               4.470
          672266.400,         4971388.000,               2.310,               2.855,               2.568,               3.569,               0.865
          673512.700,         4971819.000,               2.796,               3.289,               3.033,               1.775,               3.935
          666280.700,         4978294.000,               1.841,               2.784,               2.264,               3.304,               0.472
          660049.100,         4977863.000,               3.183,               4.625,               3.837,               5.543,               0.896
          672014.500,         4976999.000,               2.587,               3.405,               2.968,               4.185,               0.880
          655553.800,         4961972.000,               0.849,               1.197,               1.008,               1.445,               0.255
          677754.500,         4968798.000,               1.211,               1.019,               1.111,               0.402,               1.531
          676239.800,         4961544.000,               0.235,               0.759,               0.422,               0.585,               0.537
          672013.100,         4980452.000,               1.212,               2.009,               1.560,               2.334,               0.235
          666029.600,         4983042.000,               0.630,               1.399,               0.939,               0.995,               1.168
          676501.200,         4977862.000,               1.328,               1.533,               1.427,               1.954,               0.544
          669761.800,         4953774.000,               0.410,               0.396,               0.403,               0.534,               0.201
          680787.400,         4966684.000,               0.436,               0.827,               0.601,               0.560,               0.748
          652808.500,         4958091.000,               0.554,               0.920,               0.714,               1.069,               0.107
          650826.400,         4977431.000,               0.988,               0.681,               0.820,               0.192,               1.184
          647720.700,         4960418.000,               0.680,               0.551,               0.612,               0.207,               0.851
          683232.800,         4976567.000,               0.809,               0.881,               0.844,               1.142,               0.354
          664282.700,         4989517.000,               0.285,               1.275,               0.603,               1.275,               0.288
          681227.900,         4954637.000,               0.589,               0.508,               0.547,               0.711,               0.315
          686211.300,         4959816.000,               0.303,               0.183,               0.235,               0.295,               0.196
          680984.700,         4986496.000,               0.712,               0.687,               0.699,               0.316,               0.937
          689220.800,         4962422.000,               0.342,               0.383,               0.362,               0.200,               0.473
          690517.100,         4963670.000,               0.453,               0.258,               0.342,               0.039,               0.520
          681981.200,         4988222.000,               1.171,               0.747,               0.935,               1.177,               0.738
          690948.300,         4973378.000,               0.344,               0.301,               0.322,               0.125,               0.440
          654559.800,         4943846.000,               0.176,               0.290,               0.226,               0.338,               0.035
          650072.300,         4945572.000,               0.578,               0.314,               0.426,               0.531,               0.388
          636937.700,         4966647.000,               0.228,               0.278,               0.252,               0.153,               0.325
