E-UTM - m,N-UTM - m,PGA-EW - m/s2,PGA-NS - m/s2,PGA-GH - m/s2,PGA-FP - m/s2,PGA-FO - m/s2
          663690.000,         4967900.000,               4.120,               3.739,               3.925,               0.085,               5.563
          662793.600,         4971388.000,               2.194,               2.920,               2.531,               3.631,               0.393
          663690.000,         4972400.000,               2.193,               2.314,               2.252,               3.188,               0.020
          669354.900,         4967100.000,               1.713,               2.162,               1.924,               2.749,               0.227
          664786.000,         4975704.000,               2.279,               2.475,               2.375,               0.250,               3.355
          672266.400,         4971388.000,               2.590,               2.885,               2.734,               0.337,               3.862
          673512.700,         4971819.000,               3.612,               3.319,               3.462,               0.045,               4.905
          666280.700,         4978294.000,               2.041,               3.210,               2.560,               0.949,               3.684
          660049.100,         4977863.000,               2.401,               2.744,               2.567,               3.644,               0.122
          672014.500,         4976999.000,               3.921,               3.012,               3.437,               0.480,               4.921
          655553.800,         4961972.000,               4.363,               4.956,               4.650,               0.638,               6.572
          677754.500,         4968798.000,               3.309,               2.490,               2.870,               4.079,               0.715
          676239.800,         4961544.000,               1.893,               2.020,               1.955,               2.768,               0.002
          672013.100,         4980452.000,               1.387,               1.847,               1.601,               2.296,               0.249
          666029.600,         4983042.000,               1.739,               2.693,               2.164,               3.154,               0.571
          676501.200,         4977862.000,               1.745,               1.749,               1.747,               0.085,               2.469
          669761.800,         4953774.000,               0.576,               0.821,               0.688,               0.206,               0.981
          680787.400,         4966684.000,               2.077,               2.343,               2.206,               0.291,               3.118
          652808.500,         4958091.000,               2.237,               1.421,               1.783,               2.566,               0.662
          650826.400,         4977431.000,               2.356,               1.671,               1.984,               2.830,               0.579
          647720.700,         4960418.000,               1.171,               1.728,               1.422,               2.062,               0.325
          683232.800,         4976567.000,               2.432,               1.641,               1.997,               0.464,               2.897
          664282.700,         4989517.000,               0.918,               1.155,               1.030,               1.471,               0.119
          681227.900,         4954637.000,               2.198,               2.941,               2.542,               0.646,               3.614
          686211.300,         4959816.000,               1.189,               0.684,               0.902,               1.312,               0.401
          680984.700,         4986496.000,               0.149,               0.147,               0.148,               0.006,               0.209
          689220.800,         4962422.000,               0.791,               0.664,               0.725,               1.026,               0.124
          690517.100,         4963670.000,               0.838,               0.584,               0.700,               0.999,               0.213
          681981.200,         4988222.000,               0.662,               0.420,               0.527,               0.145,               0.770
          690948.300,         4973378.000,               0.354,               0.254,               0.300,               0.428,               0.085
          654559.800,         4943846.000,               0.441,               0.214,               0.308,               0.458,               0.175
          650072.300,         4945572.000,               0.296,               0.505,               0.387,               0.571,               0.129
          636937.700,         4966647.000,               0.530,               0.483,               0.506,               0.009,               0.716
